trial_id,method,step,r_squared,entropy,violations,tq
50,epistemic,0,0.236495,0.763505,0,1.0000
50,epistemic,1,0.250644,0.749356,0,1.0000
50,epistemic,2,0.374932,0.625068,0,1.0000
50,epistemic,3,0.395343,0.604657,0,1.0000
50,epistemic,4,0.468252,0.531748,0,1.0000
50,epistemic,5,0.468372,0.531628,0,1.0000
50,epistemic,6,0.470488,0.529512,0,1.0000
50,epistemic,7,0.472696,0.527304,0,0.4865
51,epistemic,0,0.218129,0.781871,0,1.0000
51,epistemic,1,0.310507,0.689493,0,1.0000
51,epistemic,2,0.379034,0.620966,0,1.0000
51,epistemic,3,0.432189,0.567811,0,1.0000
51,epistemic,4,0.535582,0.464418,0,1.0000
51,epistemic,5,0.533813,0.466187,0,1.0000
51,epistemic,6,0.541599,0.458401,0,1.0000
51,epistemic,7,0.544118,0.455882,0,0.4865
52,epistemic,0,0.298521,0.701479,0,1.0000
52,epistemic,1,0.307741,0.692259,0,1.0000
52,epistemic,2,0.440488,0.559512,0,1.0000
52,epistemic,3,0.506060,0.493940,0,1.0000
52,epistemic,4,0.534680,0.465320,0,1.0000
52,epistemic,5,0.534916,0.465084,0,1.0000
52,epistemic,6,0.565157,0.434843,0,1.0000
52,epistemic,7,0.564811,0.435189,0,0.4865
53,epistemic,0,0.212099,0.787901,0,1.0000
53,epistemic,1,0.270309,0.729691,0,1.0000
53,epistemic,2,0.465190,0.534810,0,1.0000
53,epistemic,3,0.496905,0.503095,0,1.0000
53,epistemic,4,0.616635,0.383365,0,1.0000
53,epistemic,5,0.616840,0.383160,0,1.0000
53,epistemic,6,0.657014,0.342986,0,1.0000
53,epistemic,7,0.659213,0.340787,0,0.4865
54,epistemic,0,0.225533,0.774467,0,1.0000
54,epistemic,1,0.307116,0.692884,0,1.0000
54,epistemic,2,0.460208,0.539792,0,1.0000
54,epistemic,3,0.509435,0.490565,0,1.0000
54,epistemic,4,0.574043,0.425957,0,1.0000
54,epistemic,5,0.573852,0.426148,0,1.0000
54,epistemic,6,0.594250,0.405750,0,1.0000
54,epistemic,7,0.585115,0.414885,0,0.4865
55,epistemic,0,0.287109,0.712891,0,1.0000
55,epistemic,1,0.335012,0.664988,0,1.0000
55,epistemic,2,0.483775,0.516225,0,1.0000
55,epistemic,3,0.547734,0.452266,0,1.0000
55,epistemic,4,0.645109,0.354891,0,1.0000
55,epistemic,5,0.645288,0.354712,0,1.0000
55,epistemic,6,0.657202,0.342798,0,1.0000
55,epistemic,7,0.656914,0.343086,0,0.4865
56,epistemic,0,0.244359,0.755641,0,1.0000
56,epistemic,1,0.317059,0.682941,0,1.0000
56,epistemic,2,0.425774,0.574226,0,1.0000
56,epistemic,3,0.473582,0.526418,0,1.0000
